#APID R_ap N_stars N_bg Flag Best_method int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p84 C11_Age_Gyr C11_logMass C11_E(B-V) C11_Z C11_SigmaZ 
             45            2.65           538.0           413.0               B               M   8.55860345733   8.44731730649   8.68165430561   3.94567099037   3.88506817167   4.01564865499   0.46737412725  0.262988898869  0.658462197113             8.4             8.4             8.4    3.9561028438   3.94936344145   3.97267805023             0.6            0.55            0.65             0.0             0.0             0.0             0.0             0.0
             46            1.56           118.0            55.0            NSMB               M   7.32374786519   6.60393631227   8.20448877027   3.13013920887   2.94553614331   3.35717810682  0.751655821195  0.171052362729   1.12378119782             8.2             7.7             8.2   3.38701462403   3.30477961753   3.40594331511            0.65            0.65             0.8             0.0             0.0             0.0             0.0             0.0
             47            2.06           393.0           207.0             MAY               M     8.844567688    8.7868092334   8.89952374416   3.86526257327    3.8138216876   3.91760605939 0.0388371927092             0.0  0.120961495614             8.2             8.1             8.2   4.10482160487   4.07953544013   4.10510077817            1.35            1.35             1.4             0.0             0.0             0.0             0.0             0.0
             48            2.46           475.0           279.0               B               M   8.24476613483   8.17006376622   8.32108176949   4.10200434946   4.04011120222    4.1646551443  0.362870247665  0.221914114765  0.503994087265             8.2             8.2             8.2   3.94802989982    3.9271995393   3.94852650889            0.55             0.5            0.55             0.0             0.0             0.0             0.0             0.0
             49            4.14           692.0           816.0               O               O             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             8.8             8.8             8.8   3.95425723146   3.92855629677   3.95428896165            0.15            0.05            0.15            14.0             5.3            0.11            -2.1             0.2
             50            2.05           381.0           228.0               B               M   8.83681405566   8.67225895742   8.98638568284   3.86853004065   3.78409235533   3.95496342026  0.281465257826 0.0504012441133  0.527156857177             8.4             8.3             8.7   3.89621435806   3.83670802692   3.90776914243             1.0            0.25             1.1             0.0             0.0             0.0             0.0             0.0
             52            3.31           842.0           624.0               B               M   8.29378622275   8.21810747594   8.36717182664   4.35591967973   4.30111073417   4.41844992579  0.494296601872  0.347699771018  0.645987837977             8.1             8.1             8.1   4.14362429318   4.14362306381   4.14376155841             0.7             0.7             0.7             0.0             0.0             0.0             0.0             0.0
             53            2.02           270.0           128.0             MAY               M   7.63674973598   7.52326439025   7.64020506479   2.69542485969   2.60089331889   2.68748450969  0.657197982683  0.348070721838  0.861456739971             8.0             7.9             8.0   3.70315677017   3.66385004955   3.70311291252            1.45             1.4            1.45             0.0             0.0             0.0             0.0             0.0
             55            2.39           490.0           223.0               B               I   8.81059686041   8.73638874287   8.88420435883   3.85682425047   3.79187036163   3.92173572387   0.12725481977             0.0  0.268818885058             8.9             8.9             8.9   4.08088283653    4.0797119891   4.10508095434             0.0             0.0 0.0823657208577             0.0             0.0             0.0             0.0             0.0
             56            1.83           295.0           182.0               B               M   8.73671949213   8.68902756976   8.78560271332   3.71320423068   3.66109465048   3.76609310083  0.014220467909             0.0 0.0822292519833             8.5             8.3             8.5   3.77854686474   3.74350415909   3.80186357232            0.35            0.35            0.65             0.0             0.0             0.0             0.0             0.0
             58            1.99           172.0            54.0            NSMB               M   7.88828510709   6.55184431571   9.01616957301   3.46401123794   3.07983112752   3.79514815089   1.39477302227   0.42669566243   2.27594225555             9.1             9.1             9.1   3.81489677118   3.76525803052   3.85366883292             0.3             0.3            0.45             0.0             0.0             0.0             0.0             0.0
             59            2.45           334.0           236.0               B               M    8.7070549769   8.62672310703    8.7875508666   3.49311128179   3.42668080064   3.55857397688   0.16794678978 0.0306273003262  0.296414078256             8.2             8.2             8.2   3.74168369422   3.72911044146    3.7478856185             1.1            1.05             1.1             0.0             0.0             0.0             0.0             0.0
             60             1.8           237.0           154.0               B               M    8.7148121679   8.66374532259   8.76717527841   3.43024383447   3.36692706646   3.49007579373 0.0402224712947             0.0   0.12335377166             8.5             8.5             8.5   3.67705270259   3.67700704709   3.70784277244            0.45            0.45            0.55             0.0             0.0             0.0             0.0             0.0
             61            1.79           195.0           148.0               B               M    8.4994032065   8.41200195291   8.61051865256   3.15636168694   3.06548748234   3.26957714157  0.155933706768             0.0  0.337564871886             8.5             8.5             8.6    3.5638151573   3.53738678267   3.58499324693             0.4            0.25            0.45             0.0             0.0             0.0             0.0             0.0
             63            2.26           255.0           110.0               B               M   8.34702510231   8.29166475354   8.40535420933   3.40420325803   3.33524219368   3.48051082869  0.144447443337 0.00420458722454  0.292888330019             8.5             8.5             8.5   3.75385540996   3.75362796829   3.81204694748            0.65            0.65            0.75             0.0             0.0             0.0             0.0             0.0
             64            1.46           141.0            71.0               B               I    8.6506282066   8.54206593396    8.7634863479    3.0921944944   3.00244861841   3.18142484711  0.360416713186  0.114659384449  0.587169787395             9.0             8.8             9.0    3.5772041328   3.52726827853   3.62330247472             0.0            0.05            0.65             0.0             0.0             0.0             0.0             0.0
             65            1.84           268.0           200.0               B               I   8.79400037249   8.74968848545   8.84234196174   3.48285247262   3.42432890881   3.54178889572 0.0497083788909             0.0  0.143782030513             8.6             8.3             8.7   3.67349420396   3.58250426185   3.68194319413            0.45            0.25             0.8             0.0             0.0             0.0             0.0             0.0
             66            1.85           153.0            94.0               B               M   8.26935706556   8.15516085978    8.3953458893    3.2285588865   3.11516138342   3.32344164787  0.486973328764  0.268230992587  0.765801751274             8.3             7.4             8.3   3.27884728289   3.14304280272   3.26031428268            0.55            0.55            0.75             0.0             0.0             0.0             0.0             0.0
             68            1.83           279.0           136.0             IAO               I   9.47772796561   9.27579740206   9.66435412698   4.21369034984   4.12270524646   4.29653521065  0.192877224708             0.0  0.418302447568             9.1             9.1             9.1   4.19804881988   4.17048076536    4.2248594234            0.35            0.25            0.35             0.0             0.0             0.0             0.0             0.0
             69            1.86           207.0            78.0               N               N   7.94686632169   6.52844874569   9.13368387656   3.56995322832   3.12816405677   3.92040352325   1.37947169989   0.36445611132     2.249886428             7.9             7.8             8.3   3.96784110757   3.51682561707   3.96776522717            2.65             2.0             2.7             0.0             0.0             0.0             0.0             0.0
             70            2.51           183.0            64.0               B               I   8.47665048395   8.38755887392   8.57723105492   3.09055429252   3.01137591851   3.17586050703  0.203090406332 0.0210205254479  0.377474906143             8.8             8.7             8.8   3.56920801412    3.5422305037   3.56977956058             0.2             0.1             0.4             0.0             0.0             0.0             0.0             0.0
             71            1.43           126.0            63.0               B               I   9.23299210245   8.45924176471   9.80774840333   3.93403958448   3.78650483637   4.08524651952  0.848922394815  0.247660629278   1.66187829336             9.3             9.2             9.6   4.39834308641   4.31262481235   4.53771843167            0.35            0.25             0.5             0.0             0.0             0.0             0.0             0.0
