#APID int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p50 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p50 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p50 cmd_Av_p84 N_stars              
           1100   7.88792701532   7.76671210343   8.00795728795   3.07096691629   3.00134951325   3.14039793184  0.538843022221   0.36600857463  0.708232511292             7.1             6.8             7.2             7.5   3.00429488894   2.93868142785   2.98916304344    3.0247842934             0.8            0.65            0.75             0.8           126.0
           1101   9.12996009871   8.95455596615   9.29953195232   3.69281392358   3.56280379483   3.82142299381   0.20621645675 0.0381820521195  0.373484930235             8.9             8.9             9.0             9.0   3.93199755407   3.73565210014   3.84055449052   3.93210587587            0.55             0.1            0.35             0.6           249.0
           1102   8.79184224543   8.07829990967   9.40683571886    3.3287882456   3.11124696434   3.55321743321  0.789997010607  0.121560461292   1.61939775683             9.1             9.1             9.1            10.0   3.53549075862    3.3303695041   3.50428621705   4.28738098757            0.65             0.2            0.45            0.65           102.0
           1103   9.09927364993   8.14788305538   9.64473423953   4.25419392056   4.15571830808   4.34957522991   1.09785575934  0.430071398359   2.27066937353             9.9             9.6             9.8             9.9   4.90550064709   4.67539458792    4.8233518828   4.90886822189            0.15            0.15            0.25             0.4           207.0
           1104   7.78535934494    6.8056012412   8.75977672348   3.05022553573   2.84982809196   3.27193704042   1.25593173327  0.424830009145   1.98256312886             9.2             9.1             9.2             9.3   3.67807597413   3.21729631946   3.60583968557   3.83076717697             0.3            0.15             0.3             0.5            80.0
           1106   8.68930602534   8.50923184087   8.84816347579    3.3640957989   3.26743680083   3.46438206869  0.759937717236  0.521708275066   1.01305978896             9.1             9.1             9.1             9.1   3.79755978444   3.68419277314    3.7357314297   3.79637612095            0.35            0.15            0.25             0.3           178.0
           1107   9.35519647341   8.77034984326   9.85678643574   3.52248430063   3.30535390574   3.75994953376  0.526267785062 0.0785412982389    1.0631117479             9.0             7.6             8.0             9.0   3.22915778315   2.72084317943   2.87267523091   3.19840711411            0.05            0.15             1.5            1.75            77.0
           1108   8.47692396519   8.38247166348    8.5768029747    2.9231608295    2.8079232328   3.03669176473  0.293124962827 0.0795678068148  0.500382227604             9.1             9.1             9.1             9.1   3.57775162232   3.52707182516   3.57699096091   3.61383695365             0.3            0.25            0.35            0.45           181.0
            111   8.86723876617   8.81284332825   8.92435405409    3.7776366054   3.72238402039   3.83255098006 0.0958085396615             0.0  0.195249533454             7.2             7.2             7.3             7.4   3.72041473373   3.71731062839   3.72311680033   3.74844377724             2.2            2.15             2.2             2.2           274.0
           1110   8.82399108689   8.62126790394   8.99656189066   3.01771049258   2.92006312305   3.11004247759  0.433930160857  0.160593063786  0.709227827648             9.0             9.0             9.0             9.0    3.1231897719   3.12307989472    3.1233014498   3.13880290721             0.0             0.0             0.0  0.026076678383            68.0
